"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|ES","Without Sequence","0.00","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|ES","Without Sequence","0.10","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|ES","Without Sequence","0.10","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|ES","Without Sequence","0.01","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|ES","Without Sequence","1.00","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|ES","Without Sequence","4.16","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|ES","Without Sequence","15.10","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|ES","Without Sequence","19.51","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|ES","Without Sequence","24.61","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|ES","Without Sequence","40.07","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|ES","Without Sequence","40.07","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|ES","Without Sequence","16.00","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|ES","Without Sequence","61.38","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|ES","Without Sequence","42.17","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|ES","Without Sequence","42.00","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|ES","Without Sequence","42.07","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|ES","Without Sequence","42.17","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|ES","Without Sequence","63.22","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|ES","Without Sequence","85.00","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|ES","Without Sequence","105.36","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|ES","Without Sequence","131.00","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|ES","Without Sequence","131.58","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|ES","Without Sequence","127.00","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|ES","Without Sequence","126.07","",""
"02/01/2023 12:00:00 - 02/01/2023 13:00:00","BZN|ES","Without Sequence","127.00","",""
"02/01/2023 13:00:00 - 02/01/2023 14:00:00","BZN|ES","Without Sequence","130.00","",""
"02/01/2023 14:00:00 - 02/01/2023 15:00:00","BZN|ES","Without Sequence","131.00","",""
"02/01/2023 15:00:00 - 02/01/2023 16:00:00","BZN|ES","Without Sequence","128.00","",""
"02/01/2023 16:00:00 - 02/01/2023 17:00:00","BZN|ES","Without Sequence","131.88","",""
"02/01/2023 17:00:00 - 02/01/2023 18:00:00","BZN|ES","Without Sequence","160.00","",""
"02/01/2023 18:00:00 - 02/01/2023 19:00:00","BZN|ES","Without Sequence","174.74","",""
"02/01/2023 19:00:00 - 02/01/2023 20:00:00","BZN|ES","Without Sequence","165.76","",""
"02/01/2023 20:00:00 - 02/01/2023 21:00:00","BZN|ES","Without Sequence","153.00","",""
"02/01/2023 21:00:00 - 02/01/2023 22:00:00","BZN|ES","Without Sequence","141.67","",""
"02/01/2023 22:00:00 - 02/01/2023 23:00:00","BZN|ES","Without Sequence","134.91","",""
"02/01/2023 23:00:00 - 03/01/2023 00:00:00","BZN|ES","Without Sequence","124.22","",""
"03/01/2023 00:00:00 - 03/01/2023 01:00:00","BZN|ES","Without Sequence","130.01","",""
"03/01/2023 01:00:00 - 03/01/2023 02:00:00","BZN|ES","Without Sequence","120.00","",""
"03/01/2023 02:00:00 - 03/01/2023 03:00:00","BZN|ES","Without Sequence","118.76","",""
"03/01/2023 03:00:00 - 03/01/2023 04:00:00","BZN|ES","Without Sequence","115.00","",""
"03/01/2023 04:00:00 - 03/01/2023 05:00:00","BZN|ES","Without Sequence","113.63","",""
"03/01/2023 05:00:00 - 03/01/2023 06:00:00","BZN|ES","Without Sequence","116.27","",""
"03/01/2023 06:00:00 - 03/01/2023 07:00:00","BZN|ES","Without Sequence","138.92","",""
"03/01/2023 07:00:00 - 03/01/2023 08:00:00","BZN|ES","Without Sequence","155.59","",""
"03/01/2023 08:00:00 - 03/01/2023 09:00:00","BZN|ES","Without Sequence","169.17","",""
"03/01/2023 09:00:00 - 03/01/2023 10:00:00","BZN|ES","Without Sequence","171.18","",""
"03/01/2023 10:00:00 - 03/01/2023 11:00:00","BZN|ES","Without Sequence","154.90","",""
"03/01/2023 11:00:00 - 03/01/2023 12:00:00","BZN|ES","Without Sequence","146.71","",""
"03/01/2023 12:00:00 - 03/01/2023 13:00:00","BZN|ES","Without Sequence","133.33","",""
"03/01/2023 13:00:00 - 03/01/2023 14:00:00","BZN|ES","Without Sequence","130.00","",""
"03/01/2023 14:00:00 - 03/01/2023 15:00:00","BZN|ES","Without Sequence","126.00","",""
"03/01/2023 15:00:00 - 03/01/2023 16:00:00","BZN|ES","Without Sequence","120.00","",""
"03/01/2023 16:00:00 - 03/01/2023 17:00:00","BZN|ES","Without Sequence","135.56","",""
"03/01/2023 17:00:00 - 03/01/2023 18:00:00","BZN|ES","Without Sequence","156.30","",""
"03/01/2023 18:00:00 - 03/01/2023 19:00:00","BZN|ES","Without Sequence","169.01","",""
"03/01/2023 19:00:00 - 03/01/2023 20:00:00","BZN|ES","Without Sequence","160.99","",""
"03/01/2023 20:00:00 - 03/01/2023 21:00:00","BZN|ES","Without Sequence","152.10","",""
"03/01/2023 21:00:00 - 03/01/2023 22:00:00","BZN|ES","Without Sequence","149.92","",""
