Latitude (decimal degrees):	38.975
Longitude (decimal degrees):	-5.270
Elevation (m):	459
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,9.55,2.34,0.0
20230101:0110,0.0,0.0,0.0,8.98,2.21,0.0
20230101:0210,0.0,0.0,0.0,8.43,2.14,0.0
20230101:0310,0.0,0.0,0.0,8.28,2.14,0.0
20230101:0410,0.0,0.0,0.0,8.22,2.21,0.0
20230101:0510,0.0,0.0,0.0,8.46,2.21,0.0
20230101:0610,0.0,0.0,0.0,8.64,2.28,0.0
20230101:0710,0.0,0.0,0.0,9.24,2.55,0.0
20230101:0810,11230.0,25.27,4.15,9.62,2.55,0.0
20230101:0910,71590.0,99.95,13.15,10.73,2.41,0.0
20230101:1010,59890.0,87.15,20.5,12.65,2.21,0.0
20230101:1110,72380.0,102.91,25.62,14.86,2.34,0.0
20230101:1210,145550.0,189.62,27.92,16.28,2.55,0.0
20230101:1310,496490.0,610.77,27.1,17.55,3.03,0.0
20230101:1410,345480.0,424.76,23.27,17.98,3.17,0.0
20230101:1510,385580.0,473.6,16.91,17.73,2.9,0.0
20230101:1610,200100.0,255.2,8.63,16.76,3.03,0.0
20230101:1710,0.0,0.0,0.0,15.11,3.03,0.0
20230101:1810,0.0,0.0,0.0,13.8,3.03,0.0
20230101:1910,0.0,0.0,0.0,13.1,3.45,0.0
20230101:2010,0.0,0.0,0.0,12.81,3.38,0.0
20230101:2110,0.0,0.0,0.0,12.41,3.24,0.0
20230101:2210,0.0,0.0,0.0,12.03,3.1,0.0
20230101:2310,0.0,0.0,0.0,11.72,3.03,0.0
20230102:0010,0.0,0.0,0.0,11.46,2.9,0.0
20230102:0110,0.0,0.0,0.0,11.08,2.62,0.0
20230102:0210,0.0,0.0,0.0,10.68,2.14,0.0
20230102:0310,0.0,0.0,0.0,10.71,1.86,0.0
20230102:0410,0.0,0.0,0.0,10.72,1.72,0.0
20230102:0510,0.0,0.0,0.0,10.55,1.52,0.0
20230102:0610,0.0,0.0,0.0,10.58,1.24,0.0
20230102:0710,0.0,0.0,0.0,10.44,1.52,0.0
20230102:0810,0.0,3.71,4.14,10.35,1.45,0.0
20230102:0910,45990.0,69.72,13.15,10.22,1.38,0.0
20230102:1010,105550.0,139.48,20.53,10.48,1.24,0.0
20230102:1110,178960.0,223.92,25.67,10.88,1.03,0.0
20230102:1210,294200.0,358.32,28.0,11.43,0.9,0.0
20230102:1310,240180.0,295.53,27.2,11.79,0.97,0.0
20230102:1410,234630.0,288.35,23.39,11.93,1.17,0.0
20230102:1510,199360.0,247.14,17.04,11.96,1.24,0.0
20230102:1610,110650.0,146.75,8.76,11.85,1.24,0.0
20230102:1710,0.0,0.0,0.0,11.59,1.38,0.0
20230102:1810,0.0,0.0,0.0,11.08,1.66,0.0
20230102:1910,0.0,0.0,0.0,10.58,2.0,0.0
20230102:2010,0.0,0.0,0.0,9.74,1.72,0.0
20230102:2110,0.0,0.0,0.0,8.81,1.38,0.0
20230102:2210,0.0,0.0,0.0,7.87,1.17,0.0
20230102:2310,0.0,0.0,0.0,7.01,1.24,0.0
20230103:0010,0.0,0.0,0.0,6.57,1.24,0.0
20230103:0110,0.0,0.0,0.0,6.64,1.1,0.0
20230103:0210,0.0,0.0,0.0,7.32,0.9,0.0
20230103:0310,0.0,0.0,0.0,7.16,0.62,0.0
20230103:0410,0.0,0.0,0.0,6.89,0.55,0.0
20230103:0510,0.0,0.0,0.0,6.47,0.55,0.0
20230103:0610,0.0,0.0,0.0,6.19,0.55,0.0
20230103:0710,0.0,0.0,0.0,4.3,0.69,0.0
20230103:0810,46860.0,71.29,4.14,4.7,0.76,0.0
20230103:0910,205180.0,247.51,13.17,5.26,0.83,0.0
20230103:1010,271730.0,323.44,20.56,6.34,0.9,0.0
20230103:1110,374680.0,446.31,25.73,7.73,0.9,0.0
20230103:1210,438440.0,528.03,28.09,9.44,0.9,0.0
20230103:1310,511860.0,623.95,27.31,11.26,1.1,0.0
20230103:1410,618360.0,765.88,23.51,12.46,1.24,0.0
20230103:1510,498700.0,611.04,17.17,13.05,1.24,0.0
20230103:1610,289290.0,360.79,8.9,13.07,0.76,0.0
20230103:1710,0.0,0.0,0.0,12.03,1.24,0.0
20230103:1810,0.0,0.0,0.0,9.76,1.45,0.0
20230103:1910,0.0,0.0,0.0,8.25,1.45,0.0
20230103:2010,0.0,0.0,0.0,8.33,1.17,0.0
20230103:2110,0.0,0.0,0.0,6.99,1.38,0.0
20230103:2210,0.0,0.0,0.0,5.84,1.52,0.0
20230103:2310,0.0,0.0,0.0,5.32,1.72,0.0
20230104:0010,0.0,0.0,0.0,5.07,1.93,0.0
20230104:0110,0.0,0.0,0.0,4.87,1.93,0.0
20230104:0210,0.0,0.0,0.0,4.74,1.93,0.0
20230104:0310,0.0,0.0,0.0,4.44,1.93,0.0
20230104:0410,0.0,0.0,0.0,4.09,1.86,0.0
20230104:0510,0.0,0.0,0.0,3.88,1.86,0.0
20230104:0610,0.0,0.0,0.0,3.59,1.86,0.0
20230104:0710,0.0,0.0,0.0,3.38,1.79,0.0
20230104:0810,111400.0,147.54,4.14,3.32,1.79,0.0
20230104:0910,415710.0,488.83,13.19,4.95,1.38,0.0
20230104:1010,583520.0,703.79,20.61,8.73,1.38,0.0
20230104:1110,689680.0,851.88,25.8,10.96,1.59,0.0
20230104:1210,723080.0,907.99,28.19,12.56,1.52,0.0
20230104:1310,707670.0,893.97,27.43,13.71,1.38,0.0
20230104:1410,632690.0,795.91,23.64,14.29,1.03,0.0
20230104:1510,487520.0,602.96,17.31,14.42,0.97,0.0
20230104:1610,283850.0,354.7,9.04,14.06,1.1,0.0
20230104:1710,0.0,0.0,0.0,12.69,1.66,0.0
20230104:1810,0.0,0.0,0.0,10.85,1.72,0.0
20230104:1910,0.0,0.0,0.0,8.88,1.72,0.0
20230104:2010,0.0,0.0,0.0,7.44,1.72,0.0
20230104:2110,0.0,0.0,0.0,6.43,1.79,0.0
20230104:2210,0.0,0.0,0.0,5.76,1.86,0.0
20230104:2310,0.0,0.0,0.0,5.29,1.93,0.0
20230105:0010,0.0,0.0,0.0,4.84,1.93,0.0
20230105:0110,0.0,0.0,0.0,4.38,1.93,0.0
20230105:0210,0.0,0.0,0.0,3.94,1.86,0.0
20230105:0310,0.0,0.0,0.0,3.57,1.86,0.0
20230105:0410,0.0,0.0,0.0,3.22,1.79,0.0
20230105:0510,0.0,0.0,0.0,2.86,1.79,0.0
20230105:0610,0.0,0.0,0.0,2.57,1.79,0.0
20230105:0710,0.0,0.0,0.0,2.35,1.86,0.0
20230105:0810,102750.0,136.82,4.15,2.23,1.86,0.0
20230105:0910,412510.0,483.4,13.21,4.1,1.31,0.0
20230105:1010,590360.0,710.61,20.66,7.77,1.24,0.0
20230105:1110,688290.0,853.92,25.88,10.12,1.1,0.0
20230105:1210,718440.0,911.72,28.29,11.89,0.83,0.0
20230105:1310,699180.0,897.47,27.55,13.13,0.48,0.0
20230105:1410,629530.0,799.89,23.78,13.8,0.41,0.0
20230105:1510,493200.0,613.31,17.45,13.93,0.48,0.0
20230105:1610,291070.0,364.03,9.19,13.63,0.62,0.0
20230105:1710,0.0,0.0,0.0,12.24,0.97,0.0
