Latitude (decimal degrees):	60.169
Longitude (decimal degrees):	24.940
Elevation (m):	14
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,3.71,6.28,0.0
20230101:0111,0.0,0.0,0.0,3.08,5.66,0.0
20230101:0211,0.0,0.0,0.0,2.42,5.03,0.0
20230101:0311,0.0,0.0,0.0,1.84,4.62,0.0
20230101:0411,0.0,0.0,0.0,1.29,4.14,0.0
20230101:0511,0.0,0.0,0.0,0.57,3.93,0.0
20230101:0611,0.0,0.0,0.0,0.06,3.86,0.0
20230101:0711,0.0,0.0,0.0,-0.45,3.52,0.0
20230101:0811,67490.0,90.24,2.56,-0.92,3.38,0.0
20230101:0911,358970.0,402.34,5.52,-1.14,3.24,0.0
20230101:1011,425130.0,475.07,6.78,-0.9,3.38,0.0
20230101:1111,355190.0,398.09,6.25,-0.65,3.59,0.0
20230101:1211,168580.0,198.32,3.96,-0.83,3.59,0.0
20230101:1311,0.0,0.0,0.0,-1.5,3.38,0.0
20230101:1411,0.0,0.0,0.0,-2.24,3.52,0.0
20230101:1511,0.0,0.0,0.0,-2.69,3.79,0.0
20230101:1611,0.0,0.0,0.0,-2.92,4.0,0.0
20230101:1711,0.0,0.0,0.0,-3.15,4.21,0.0
20230101:1811,0.0,0.0,0.0,-3.2,4.41,0.0
20230101:1911,0.0,0.0,0.0,-3.19,4.69,0.0
20230101:2011,0.0,0.0,0.0,-3.17,4.97,0.0
20230101:2111,0.0,0.0,0.0,-3.22,5.1,0.0
20230101:2211,0.0,0.0,0.0,-3.24,4.9,0.0
20230101:2311,0.0,0.0,0.0,-3.1,4.83,0.0
20230102:0011,0.0,0.0,0.0,-2.9,4.97,0.0
20230102:0111,0.0,0.0,0.0,-2.8,4.83,0.0
20230102:0211,0.0,0.0,0.0,-2.65,4.55,0.0
20230102:0311,0.0,0.0,0.0,-2.83,4.34,0.0
20230102:0411,0.0,0.0,0.0,-3.24,4.28,0.0
20230102:0511,0.0,0.0,0.0,-3.73,3.66,0.0
20230102:0611,0.0,0.0,0.0,-4.3,3.52,0.0
20230102:0711,0.0,0.0,0.0,-4.86,3.31,0.0
20230102:0811,78790.0,101.25,2.61,-4.45,3.24,0.0
20230102:0911,142260.0,167.27,5.59,-5.43,1.93,0.0
20230102:1011,408700.0,453.17,6.87,-4.85,1.72,0.0
20230102:1111,392090.0,438.67,6.35,-4.28,1.03,0.0
20230102:1211,22050.0,37.67,4.07,-2.53,2.14,0.0
20230102:1311,0.0,0.0,0.0,-2.14,2.41,0.0
20230102:1411,0.0,0.0,0.0,-3.45,2.21,0.0
20230102:1511,0.0,0.0,0.0,-2.8,2.76,0.0
20230102:1611,0.0,0.0,0.0,-1.38,3.17,0.0
20230102:1711,0.0,0.0,0.0,-0.56,3.59,0.0
20230102:1811,0.0,0.0,0.0,-0.2,3.86,0.0
20230102:1911,0.0,0.0,0.0,0.04,4.55,0.0
20230102:2011,0.0,0.0,0.0,0.13,4.76,0.0
20230102:2111,0.0,0.0,0.0,0.09,4.97,0.0
20230102:2211,0.0,0.0,0.0,0.0,5.38,0.0
20230102:2311,0.0,0.0,0.0,-0.09,5.24,0.0
20230103:0011,0.0,0.0,0.0,-0.2,5.52,0.0
20230103:0111,0.0,0.0,0.0,-0.26,6.07,0.0
20230103:0211,0.0,0.0,0.0,-0.36,6.34,0.0
20230103:0311,0.0,0.0,0.0,-0.46,6.55,0.0
20230103:0411,0.0,0.0,0.0,-0.48,6.34,0.0
20230103:0511,0.0,0.0,0.0,-0.5,5.86,0.0
20230103:0611,0.0,0.0,0.0,-0.51,5.38,0.0
20230103:0711,0.0,0.0,0.0,-0.66,5.03,0.0
20230103:0811,10760.0,23.32,2.67,-0.9,4.62,0.0
20230103:0911,58760.0,80.11,5.67,-1.05,4.28,0.0
20230103:1011,204750.0,234.95,6.96,-1.32,4.41,0.0
20230103:1111,353550.0,393.33,6.45,-1.59,4.34,0.0
20230103:1211,810.0,7.42,4.19,-1.89,3.93,0.0
20230103:1311,0.0,0.0,0.0,-2.24,3.45,0.0
20230103:1411,0.0,0.0,0.0,-2.57,3.03,0.0
20230103:1511,0.0,0.0,0.0,-2.72,2.83,0.0
20230103:1611,0.0,0.0,0.0,-3.03,2.62,0.0
20230103:1711,0.0,0.0,0.0,-3.36,2.0,0.0
20230103:1811,0.0,0.0,0.0,-4.19,1.79,0.0
20230103:1911,0.0,0.0,0.0,-4.49,1.66,0.0
20230103:2011,0.0,0.0,0.0,-4.03,1.66,0.0
20230103:2111,0.0,0.0,0.0,-3.97,1.79,0.0
20230103:2211,0.0,0.0,0.0,-3.53,1.31,0.0
20230103:2311,0.0,0.0,0.0,-4.02,1.45,0.0
20230104:0011,0.0,0.0,0.0,-3.46,1.45,0.0
20230104:0111,0.0,0.0,0.0,-3.17,2.0,0.0
20230104:0211,0.0,0.0,0.0,-3.14,2.55,0.0
20230104:0311,0.0,0.0,0.0,-2.88,2.83,0.0
20230104:0411,0.0,0.0,0.0,-3.02,2.83,0.0
20230104:0511,0.0,0.0,0.0,-3.28,2.55,0.0
20230104:0611,0.0,0.0,0.0,-3.31,2.62,0.0
20230104:0711,0.0,0.0,0.0,-3.41,2.69,0.0
20230104:0811,0.0,1.85,2.74,-3.59,2.62,0.0
20230104:0911,377390.0,419.05,5.75,-3.76,2.69,0.0
20230104:1011,436620.0,482.64,7.06,-3.93,2.83,0.0
20230104:1111,830.0,7.42,6.56,-4.2,2.76,0.0
20230104:1211,0.0,3.71,4.31,-4.33,2.69,0.0
20230104:1311,0.0,0.0,0.0,-4.83,2.69,0.0
20230104:1411,0.0,0.0,0.0,-5.47,2.76,0.0
20230104:1511,0.0,0.0,0.0,-6.0,2.62,0.0
20230104:1611,0.0,0.0,0.0,-6.7,2.83,0.0
20230104:1711,0.0,0.0,0.0,-7.45,2.97,0.0
20230104:1811,0.0,0.0,0.0,-8.42,3.1,0.0
20230104:1911,0.0,0.0,0.0,-9.06,3.52,0.0
20230104:2011,0.0,0.0,0.0,-9.22,4.0,0.0
20230104:2111,0.0,0.0,0.0,-9.55,4.48,0.0
20230104:2211,0.0,0.0,0.0,-9.65,4.62,0.0
20230104:2311,0.0,0.0,0.0,-9.72,4.97,0.0
20230105:0011,0.0,0.0,0.0,-9.84,5.38,0.0
20230105:0111,0.0,0.0,0.0,-10.03,5.24,0.0
20230105:0211,0.0,0.0,0.0,-9.94,5.66,0.0
20230105:0311,0.0,0.0,0.0,-9.78,5.72,0.0
20230105:0411,0.0,0.0,0.0,-9.78,5.72,0.0
20230105:0511,0.0,0.0,0.0,-9.99,5.72,0.0
20230105:0611,0.0,0.0,0.0,-10.34,5.72,0.0
20230105:0711,0.0,0.0,0.0,-10.69,5.59,0.0
20230105:0811,89180.0,109.36,2.82,-10.94,5.66,0.0
20230105:0911,317280.0,340.4,5.84,-10.46,5.59,0.0
20230105:1011,169080.0,190.13,7.16,-10.18,5.66,0.0
20230105:1111,318350.0,342.33,6.68,-9.58,5.52,0.0
20230105:1211,84320.0,104.5,4.43,-9.35,5.31,0.0
20230105:1311,0.0,0.0,0.0,-9.4,5.1,0.0
20230105:1411,0.0,0.0,0.0,-9.77,4.76,0.0
20230105:1511,0.0,0.0,0.0,-9.97,4.62,0.0
20230105:1611,0.0,0.0,0.0,-9.76,4.69,0.0
20230105:1711,0.0,0.0,0.0,-9.6,4.76,0.0
20230105:1811,0.0,0.0,0.0,-9.16,4.76,0.0
20230105:1911,0.0,0.0,0.0,-9.02,4.48,0.0
20230105:2011,0.0,0.0,0.0,-8.76,4.28,0.0
20230105:2111,0.0,0.0,0.0,-8.59,4.21,0.0
20230105:2211,0.0,0.0,0.0,-8.95,3.66,0.0
20230105:2311,0.0,0.0,0.0,-9.13,3.52,0.0
20230106:0011,0.0,0.0,0.0,-9.45,3.45,0.0
20230106:0111,0.0,0.0,0.0,-9.69,3.24,0.0
20230106:0211,0.0,0.0,0.0,-10.16,3.24,0.0
20230106:0311,0.0,0.0,0.0,-10.3,3.17,0.0
20230106:0411,0.0,0.0,0.0,-10.37,3.1,0.0
20230106:0511,0.0,0.0,0.0,-10.37,2.97,0.0
20230106:0611,0.0,0.0,0.0,-10.09,2.9,0.0
20230106:0711,0.0,0.0,0.0,-9.74,2.62,0.0
20230106:0811,44040.0,61.93,2.9,-9.55,2.41,0.0
20230106:0911,266360.0,292.77,5.94,-9.03,2.41,0.0
20230106:1011,28170.0,44.38,7.27,-8.14,1.72,0.0
20230106:1111,8920.0,20.4,6.8,-7.35,1.79,0.0
20230106:1211,0.0,4.64,4.57,-7.28,1.79,0.0
20230106:1311,0.0,0.0,0.0,-7.69,2.0,0.0
20230106:1411,0.0,0.0,0.0,-8.15,2.14,0.0
20230106:1511,0.0,0.0,0.0,-8.09,2.28,0.0
20230106:1611,0.0,0.0,0.0,-7.86,2.55,0.0
20230106:1711,0.0,0.0,0.0,-7.53,2.69,0.0
20230106:1811,0.0,0.0,0.0,-7.45,2.69,0.0
20230106:1911,0.0,0.0,0.0,-7.41,2.55,0.0
20230106:2011,0.0,0.0,0.0,-7.26,2.0,0.0
20230106:2111,0.0,0.0,0.0,-6.98,2.76,0.0
20230106:2211,0.0,0.0,0.0,-6.05,3.1,0.0
20230106:2311,0.0,0.0,0.0,-7.44,2.69,0.0
20230107:0011,0.0,0.0,0.0,-7.84,3.24,0.0
20230107:0111,0.0,0.0,0.0,-7.17,3.79,0.0
20230107:0211,0.0,0.0,0.0,-6.87,4.0,0.0
20230107:0311,0.0,0.0,0.0,-6.93,4.28,0.0
20230107:0411,0.0,0.0,0.0,-7.17,4.48,0.0
20230107:0511,0.0,0.0,0.0,-7.38,4.9,0.0
20230107:0611,0.0,0.0,0.0,-7.69,5.24,0.0
20230107:0711,0.0,0.0,0.0,-7.95,5.31,0.0
20230107:0811,0.0,4.64,3.0,-8.05,5.31,0.0
20230107:0911,77240.0,97.58,6.05,-8.03,5.31,0.0
20230107:1011,26520.0,42.37,7.39,-8.17,5.31,0.0
20230107:1111,34280.0,51.21,6.94,-8.28,5.59,0.0
20230107:1211,16670.0,30.37,4.71,-8.39,5.72,0.0
20230107:1311,0.0,0.0,0.0,-8.51,5.38,0.0
20230107:1411,0.0,0.0,0.0,-8.73,5.1,0.0
20230107:1511,0.0,0.0,0.0,-8.92,4.83,0.0
20230107:1611,0.0,0.0,0.0,-9.1,4.69,0.0
20230107:1711,0.0,0.0,0.0,-9.13,4.83,0.0
20230107:1811,0.0,0.0,0.0,-9.19,4.9,0.0
20230107:1911,0.0,0.0,0.0,-9.07,4.9,0.0
20230107:2011,0.0,0.0,0.0,-8.96,4.97,0.0
20230107:2111,0.0,0.0,0.0,-8.72,4.97,0.0
20230107:2211,0.0,0.0,0.0,-8.4,4.69,0.0
20230107:2311,0.0,0.0,0.0,-8.27,4.55,0.0
20230108:0011,0.0,0.0,0.0,-8.26,4.41,0.0
20230108:0111,0.0,0.0,0.0,-8.31,4.34,0.0
20230108:0211,0.0,0.0,0.0,-8.31,4.41,0.0
20230108:0311,0.0,0.0,0.0,-8.28,4.48,0.0
20230108:0411,0.0,0.0,0.0,-8.26,4.83,0.0
20230108:0511,0.0,0.0,0.0,-8.23,4.97,0.0
20230108:0611,0.0,0.0,0.0,-8.17,4.9,0.0
20230108:0711,0.0,0.0,0.0,-8.03,4.9,0.0
20230108:0811,0.0,2.78,3.1,-7.9,4.83,0.0
20230108:0911,1320.0,8.34,6.16,-7.66,5.52,0.0
20230108:1011,12340.0,25.03,7.52,-7.38,4.83,0.0
